step,avg_return
0,-200.0
50000,-200.0
100000,-200.0
150000,-200.0
200000,-101.0
250000,-111.5
300000,-97.3
350000,-101.2
400000,-101.8
450000,-102.0
500000,-100.6
550000,-97.4
600000,-101.6
650000,-102.5
700000,-104.2
750000,-96.6
800000,-98.3
850000,-100.9
900000,-96.5
950000,-97.8
1000000,-100.9
